"year","variable_rename","value","alpha"
2005,"Coal",1982.8,1
2005,"Gas",318.9,1
2005,"Other Sectors",3680.5,0.5
2005,"Petroleum",98,1
2006,"Coal",1952.7,1
2006,"Gas",338,1
2006,"Other Sectors",3656.9,0.5
2006,"Petroleum",53.3,1
2007,"Coal",1986.2,1
2007,"Gas",371.5,1
2007,"Other Sectors",3672.4,0.5
2007,"Petroleum",53,1
2008,"Coal",1958.4,1
2008,"Gas",362.1,1
2008,"Other Sectors",3517.2,0.5
2008,"Petroleum",38.4,1
2009,"Coal",1740.2,1
2009,"Gas",372.5,1
2009,"Other Sectors",3296.7,0.5
2009,"Petroleum",32.2,1
2010,"Coal",1827.2,1
2010,"Gas",399.5,1
2010,"Other Sectors",3386.7,0.5
2010,"Petroleum",31.4,1
2011,"Coal",1722.4,1
2011,"Gas",409.4,1
2011,"Other Sectors",3354.1,0.5
2011,"Petroleum",25.8,1
2012,"Coal",1511.7,1
2012,"Gas",492.8,1
2012,"Other Sectors",3287.8,0.5
2012,"Petroleum",18.3,1
2013,"Coal",1571.3,1
2013,"Gas",444.2,1
2013,"Other Sectors",3413.6,0.5
2013,"Petroleum",22.4,1
2014,"Coal",1568.6,1
2014,"Gas",442.9,1
2014,"Other Sectors",3463.2,0.5
2014,"Petroleum",25.3,1
2015,"Coal",1351.4,1
2015,"Gas",525.2,1
2015,"Other Sectors",3447.1,0.5
2015,"Petroleum",23.7,1
2016,"Coal",1242,1
2016,"Gas",545,1
2016,"Other Sectors",3417.9,0.5
2016,"Petroleum",21.5,1
2017,"Coal",1207.1,1
2017,"Gas",505.6,1
2017,"Other Sectors",3454.5,0.5
2017,"Petroleum",18.9,1
2018,"Coal",1152.9,1
2018,"Gas",577.9,1
2018,"Other Sectors",3598.2,0.5
2018,"Petroleum",22.2,1
2019,"Coal",973.5,1
2019,"Gas",616.6,1
2019,"Other Sectors",3630.6,0.5
2019,"Petroleum",16.2,1
2020,"Coal",788.2,1
2020,"Gas",634.8,1
2020,"Other Sectors",3252.1,0.5
2020,"Petroleum",16.2,1
2021,"Coal",909.9,1
2021,"Gas",612.9,1
2021,"Other Sectors",3467.6,0.5
2021,"Petroleum",17.7,1
