"Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
2005,"Baseline",22.565,NA,NA,NA
2030,"No IRA Min",11.75,47.929,NA,NA
2030,"No IRA Median",29.503,-30.747,NA,NA
2030,"No IRA Max",34.213,-51.622,NA,NA
2030,"IRA Min",11.21,50.322,4.596,0.54
2030,"IRA Median",26.631,-18.018,9.736,2.872
2030,"IRA Max",29.679,-31.529,13.252,4.534
2035,"No IRA Min",11.71,48.106,NA,NA
2035,"No IRA Median",29.336,-30.006,NA,NA
2035,"No IRA Max",34.735,-53.935,NA,NA
2035,"IRA Min",10.73,52.449,8.369,0.98
2035,"IRA Median",25.589,-13.402,12.772,3.747
2035,"IRA Max",28.731,-27.327,17.285,6.004
